fbID,page,code,nb,media
273879369312507,Laughter is good for the Soul,LIGFTS1,975,
879057135443770,You Know Nothing Jon Snow,JonSnowLordCommander,954,
281373965620841,QUÉBÉCOIS,QuebecoisCom,949,
102229756963205,I love Poland,IlovePoland966,946,
252624141550902,Creaze Q,CreazeVideo,941,
466158346863316,Canada's Energy Citizens,CanadasEnergyCitizens,939,
2392248101000496,What.If,What.If.science,934,
560043290814548,L'Anti-Média,LAntiMedia,933,
309805402365520,Love Afghanistan Page,LoveAfghanistan4ever,929,
125688934131504,The Beaverton,TheBeaverton,926,
1584831215108516,Cardi B,therealcardib,925,
23648815198,Toronto Maple Leafs,torontomapleleafs,922,
78302173311,La Presse,LaPresseFB,910,media
1420305824854951,Animal Freedom Fighter,animalfreedomfighter,902,
1835592583329498,Oilfield Now,oilfieldnow,897,
508381246298281,ALL MEMES,skodenstoodiss,883,
1077203125681659,Ricky Berwick,rickyberwick,877,
147791352031167,Hypothyroid Mom,HypothyroidMom,876,
112778422090117,Bianca Beauchamp,biancabeauchampmodel,865,
239291646648744,Farmhouse Is My Style,farmhouseismystyle,865,
810147692358612,Tracy Kiss,TheTracyKiss,857,
870300729744249,Canuck and I,thecrowandI,856,
1215622501853749,Les Conneries des Animaux,lesconneriesdesanimaux,852,
249039502331690,BPD and Chill,bpdandchill,852,
285835258420981,Bonheur et santé,bonheuretsante.fr,847,
132756582352,RDS,RDS,838,media
91251252807,Rock 101,Rock101Van,838,
121636511852574,Vacation Mode,vacationmodeofficial,831,
284825641552822,Inspiring and Positive Quotes,InspiringandPositive,827,
147910631975223,Drumeo,drumeo,826,
502736489765883,Hukamnama Sri Darbar Sahib Amritsar,dailyhukamnama,824,
471985672990818,Dr. Miguna Miguna,GovernorMigunaMiguna,821,
590117937780756,Oil Sands Action,OilSandsAction,821,
188800427797025,Geek Girls,geekxgirls,820,
259722467815753,Gaming TV,mygamingtv,820,
161042861038324,Dad Patrol,HiveMediaTeamDadPatrol,817,
362820157133075,Dallas Cowboys and Their Fans are Morons,DallasCowboysNFansRMorons,809,
1370577913014490,Medicina para El Alma,MedicinparaElAlma,808,
454413224945398,Globe Trotter Travels,GlobeTrotterTravelsNow,808,
745995528781548,Marvel Universe - Behind the Screen,BehindTheScreenVideo,808,
334584650011529,Salons des animaux exotiques du Québec,animauxexotiquesquebec,804,
288189418327962,Lfercha,lferchainfos,802,
251855385332227,Steve Jenkins,EsthersDadSteve,792,
773259149381076,Dnevna doza prosečnog Srbende,srbende,791,
340976672985771,Tips & Crafts,Tipscrafts,789,
121408911314478,Deadpool Fans,DeadpoolX10,785,
912549428882333,Justin Trudeau is an Idiot,JustinTrudeauisanIdiot,785,
218613405205017,Your Everyday Asian,YourEverydayAsian,781,
254768477928383,MTL Blog,MTLBlog,779,
123717350986797,HotNewHipHop.com,realhotnewhiphop,778,
619314798263089,Cannadish,cannadish,778,
386711284789074,Complete Hockey News,CompleteHockeyNews,771,media
1675376765901269,6 MeMes 9,6memes9,770,
301156380059120,Log Homes,thelogbuilders,768,
949548445082020,Trésors du Monde,webviralvoyages,764,
84441843600,Rita Ora,RitaOra,764,
314576555641055,El principito,Librodelprincipito,763,
1665172087029691,The Newfoundland Turnip,NewfoundlandTurnip,757,
784042488306600,Narcity USA,NarcityUSA,757,
185669354938012,CBC,cbc,752,
173678916107053,Diply Tech,diplytech,747,
117444991629591,Aryana Sayeed آريانا سعيد,aryanamusic,743,
230508820658938,Aesthetically Pleasing Asian Girls,APAG2,740,
412138068863505,We Love The 90s - Urban Music,90sUrbanExpress,740,
412887198817411,Fame10,fameten,737,
378969098848502,Shared: Animals,animals.sharedcom,734,
102286693169255,La Fondation Giguère,LaFondationGiguere,728,
1684620501828365,JR Kaur,JRKaur,727,
821979167929292,Pierre Alex Jeanty,PierreAlexJeanty,726,
1393732657336931,Horror Lives Here,horrorliveshere,722,
368071806672191,Native Entertainment News,firstnationsent,721,
426647384068147,Psychcomedy,PsychComedy,720,
509141149288479,Skepticus,SkepticusOfficial,711,
124160890653,Indochine officiel,Indochineofficiel,708,
339591429764720,Mère ordinaire par Bianca Longpré,MereOrdinaireBiancaLongpre,706,
190780141002344,Quotes Of MY Life,QMLife,702,
96199175088,KhanaPakana.com,khanapakana,702,
1535301143405211,Pacto Contra o #PT,pactocontraopt,700,
151369908231405,CTV Edmonton,CTVEdmonton,696,media
352811692664,Pablo Alborán,PabloAlboranOficial,688,
279599212373473,Daily Hive Toronto,dailyhivetoronto,677,media
335495933492357,Justin Trudeau Not,JustinTrudeauNot,677,
194078694006962,Mata Naina Devi,shrimatanainadevi,673,
123603337695336,Le Journal de Québec,JdeQuebec,666,media
111779228839691,Pregnant Chicken,pregnantchicken,666,
110225254594,National Post,NationalPost,665,media
842535522491619,AC Bonifacio,andreeacbonifacio,658,
220584564635644,CBC Indigenous,CBC.caIndigenous,657,media
